Company,Company Score,Job Title,Location,Date,Salary,Cleaned_Salary,Experience_Level,Salary_Scaled,Salary_Bonus
Hubbell Incorporated,3.4,Sr Assoc Software Engineer,"Avon, CT",1d,$95K - $126K (Glassdoor est.),110500.0,Mid Level,-0.31238940606488563,5525.0
Valkyrie Enterprises,3.8,Junior Computer/Software Engineer (Job ID: 3433),"Huntsville, AL",23d,$138K - $178K (Employer est.),158000.0,Senior,0.7497153827343963,15800.0
Two Six Technologies,4.5,Software Engineer,"Herndon, VA",30d+,$61K - $147K (Employer est.),104000.0,Mid Level,-0.4577300613742611,5200.0
Decision Six,3.6,Software Engineer,United States,5d,$124K - $211K (Employer est.),167500.0,Senior,0.9621363404942528,16750.0
Microsoft,4.4,Software Engineer,"Redmond, WA",4d,$90K - $117K (Glassdoor est.),103500.0,Mid Level,-0.46891011178267455,5175.0
Ateliere Creative Technologies,4.1,Senior DevOps Engineer - Los Angeles,"Los Angeles, CA",2d,$98K - $209K (Employer est.),153500.0,Senior,0.6490949290586748,15350.0
OpenAI,3.1,"Software Engineer, Hardware Health","San Francisco, CA",5d,$78K - $121K (Glassdoor est.),99500.0,Mid Level,-0.5583505150499826,4975.0
Two Six Technologies,2.7,Software Engineer,"Tysons Corner, VA",17d,$100K - $165K (Employer est.),132500.0,Senior,0.17953281190530812,13250.0
Splunk,3.5,Software Engineer (US Remote Available),Remote,3d,$125K (Employer est.),125000.0,Senior,0.011832055779105694,12500.0
Sasken,4.1,Software Engineer,United States,6d,$71K - $112K (Glassdoor est.),91500.0,Mid Level,-0.7372313215845985,4575.0
RealmOne,3.8,Software Engineer,United States,5d,$95K - $152K (Employer est.),123500.0,Senior,-0.02170809544613479,12350.0
The Wolf Works LLC,4.4,Node JS,"Austin, TX",2d,$86K - $105K (Glassdoor est.),95500.0,Mid Level,-0.6477909183172905,4775.0
Millennium Management,3.8,Software Engineer - C#,"New York, NY",30d+,$135K - $216K (Employer est.),175500.0,Senior,1.1410171470288686,17550.0
"Aflac, Incorporated",4.0,Software Engineer III,Remote,1d,$93K - $112K (Employer est.),102500.0,Mid Level,-0.49127021259950154,5125.0
RingCentral,3.9,Software Engineer,"Belmont, CA",24d,$104K - $161K (Glassdoor est.),132500.0,Senior,0.17953281190530812,13250.0
Dallas Area Rapid Transit,3.7,Software Engineer-BI,"Dallas, TX",30d+,$77K - $121K (Glassdoor est.),99000.0,Mid Level,-0.569530565458396,4950.0
W R Systems,3.5,Software Engineer,"Dahlgren, VA",4d,$95K - $134K (Glassdoor est.),114500.0,Mid Level,-0.2229490027975777,5725.0
"CARECRAFT, INC",3.7,Software Engineer,"Carlsbad, CA",10d,$125K - $178K (Employer est.),151500.0,Senior,0.6043747274250209,15150.0
SpecialT Tech,3.1,Cloud Engineer Manager,Remote,25d,$76K - $108K (Glassdoor est.),92000.0,Mid Level,-0.726051271176185,4600.0
"Hottinger, Bruel & Kjaer",4.5,Software Engineer,"Pompano Beach, FL",30d+,$77K - $116K (Glassdoor est.),96500.0,Mid Level,-0.6254308175004635,4825.0
"CPS Solutions, LLC",4.1,DevOps Engineer,United States,3d,$82K - $106K (Glassdoor est.),94000.0,Mid Level,-0.681331069542531,4700.0
Northwestern Memorial Healthcare,4.2,Software Developers,"Chicago, IL",10d,$86K - $120K (Glassdoor est.),103000.0,Mid Level,-0.4800901621910881,5150.0
The Swift Group,4.1,Software Engineer,"Columbia, MD",30d+,$96K - $146K (Employer est.),121000.0,Senior,-0.07760834748820226,12100.0
ASUS Computer International,4.9,Software Engineer - AI,"Hillsboro, OR",30d+,$96K - $137K (Glassdoor est.),116500.0,Mid Level,-0.1782288011639237,5825.0
Persistent Systems,4.6,Workday Software Engineer,United States,9d,$141K - $239K (Employer est.),190000.0,Senior,1.46523860887286,19000.0
Cedar Inc,3.3,Software Engineer II (Communications Platform),"New York, NY",20d,$108K - $140K (Employer est.),124000.0,Senior,-0.010528045037721295,12400.0
Salesforce,3.1,Software Engineering MTS,"San Francisco, CA",3d,$40.00 - $55.00 Per Hour (Employer est.),47.5,Junior,-2.7821184415354687,2.375
CVS Health,2.4,"Software Developer - C#, .NET","Scottsdale, AZ",3d,$108K - $195K (Employer est.),151500.0,Senior,0.6043747274250209,15150.0
Nautilus Hyosung America Inc,3.1,Software Engineer,"Irving, TX",3d,$111K - $184K (Employer est.),147500.0,Senior,0.5149343241577129,14750.0
Blue Origin,4.4,Embedded Flight Software Engineer – New Glenn,"Seattle, WA",2d,$189K - $284K (Employer est.),236500.0,Senior,2.504983296855315,23650.0
West Bend Insurance Company,4.9,Software Engineer,"West Bend, WI",1d,$79K - $109K (Glassdoor est.),94000.0,Mid Level,-0.681331069542531,4700.0
JBT Corporation,4.1,Software Engineer C#,"Chalfont, PA",15d,$94K - $129K (Glassdoor est.),111500.0,Mid Level,-0.29002930524805864,5575.0
Cedar Inc,3.1,Software Engineer III (Payment Workflows),"New York, NY",19d,$56K - $83K (Glassdoor est.),69500.0,Junior,-1.2291535395547921,3475.0
Allied Business Consulting,3.8,SOFTWARE DEVELOPERS,"Somerset, NJ",13d,$202K - $290K (Employer est.),246000.0,Senior,2.7174042546151713,24600.0
"Chick-fil-A, Inc.",2.3,Senior Software Engineer - Backend Development,"Atlanta, GA",11d,$70K - $103K (Glassdoor est.),86500.0,Mid Level,-0.8490318256687334,4325.0
"US AMR-Jones Lang LaSalle Americas, Inc.",3.8,Software Engineering,"San Francisco, CA",2d,$86K - $121K (Glassdoor est.),103500.0,Mid Level,-0.46891011178267455,5175.0
Smart IMS,3.8,Software Engineer,"Austin, TX",30d+,$74K - $107K (Glassdoor est.),90500.0,Mid Level,-0.7595914224014254,4525.0
Clearwater Analytics,4.7,Software Development Engineer,"San Jose, CA",30d+,$81K - $113K (Glassdoor est.),97000.0,Mid Level,-0.61425076709205,4850.0
PayPal,3.9,"Software Engineer, Backend","San Jose, CA",2d,$72K - $119K (Glassdoor est.),95500.0,Mid Level,-0.6477909183172905,4775.0
WALGREENS,4.6,Principal Software Engineer,"Bellevue, WA",1d,$90K - $125K (Glassdoor est.),107500.0,Mid Level,-0.3794697085153666,5375.0
The Swift Group,3.7,Software Engineer,"McLean, VA",18d,$80K - $150K (Employer est.),115000.0,Mid Level,-0.21176895238916418,5750.0
Hewlett Packard,3.5,Software Engineer,"Spring, TX",10d,$72K - $144K (Employer est.),108000.0,Mid Level,-0.36828965810695313,5400.0
Microsoft,4.0,Software Engineer,"Redmond, WA",5d,$70K - $95K (Employer est.),82500.0,Mid Level,-0.9384722289360413,4125.0
New River Systems Corporation,4.4,SharePoint Software Systems Engineer,Remote,17d,$100K - $140K (Employer est.),120000.0,Senior,-0.09996844830502925,12000.0
"Modern Technology Solutions, Inc.",4.6,Software Engineer - Associate,"Chantilly, VA",11d,$124K - $234K (Employer est.),179000.0,Senior,1.2192774998877631,17900.0
PQSecure Technologies,3.7,Hardware/Software Engineer,"Boca Raton, FL",30d+,$88K - $119K (Glassdoor est.),103500.0,Mid Level,-0.46891011178267455,5175.0
ISPA Technology,4.4,Mid to Senior Level Software Engineer,"San Diego, CA",19d,$123K - $198K (Employer est.),160500.0,Senior,0.8056156347764638,16050.0
OnMed,5.0,Site Reliability Engineer,"Tampa, FL",23d,$158K - $176K (Employer est.),167000.0,Senior,0.9509562900858393,16700.0
Grote Industries,4.2,Networks - Embedded Software Engineer,"Madison, IN",3d,$160K - $180K (Employer est.),170000.0,Senior,1.0180365925363202,17000.0
WALGREENS,3.9,DevOps Engineer,"Deerfield, IL",24h,$87K - $119K (Glassdoor est.),103000.0,Mid Level,-0.4800901621910881,5150.0
Cloud Software Group,4.5,Software Engineer,"Naperville, IL",12d,$97K - $145K (Employer est.),121000.0,Senior,-0.07760834748820226,12100.0
WALGREENS,4.6,"Senior Software Engineer (Full-Stack, Java, JavaScript)","Bellevue, WA",30d+,$89K - $139K (Glassdoor est.),114000.0,Mid Level,-0.2341290532059912,5700.0
NationMind Infoservices Pvt Ltd,3.6,Software Engineer,Florida,16d,$53K - $103K (Employer est.),78000.0,Mid Level,-1.0390926826117628,3900.0
Arrowstreet Capital,3.4,Fullstack Software Engineer,"Boston, MA",30d+,$129K - $228K (Employer est.),178500.0,Senior,1.2080974494793497,17850.0
Favorited,4.8,Full Stack Engineer,"Santa Monica, CA",2d,$150K - $250K (Employer est.),200000.0,Senior,1.68883961704113,20000.0
Strategic Thermal Labs,2.5,Software Engineer,"Georgetown, TX",11d,$116K - $163K (Glassdoor est.),139500.0,Senior,0.33605351762309704,13950.0
IdolSoft,3.3,SOFTWARE DEVELOPER,"Irving, TX",30d+,$104K - $127K (Glassdoor est.),115500.0,Mid Level,-0.2005889019807507,5775.0
BI Labs,3.1,SOFTWARE DEVELOPERS (834),"Plainsboro, NJ",30d+,$53K - $96K (Employer est.),74500.0,Mid Level,-1.1173530354706573,3725.0
Verily,3.5,"Software Engineer, Enterprise Frontend","San Bruno, CA",30d+,$60K - $90K (Employer est.),75000.0,Mid Level,-1.1061729850622437,3750.0
Colonial Pipeline Company,4.4,Software Engineer,"Alpharetta, GA",30d+,$143K - $191K (Employer est.),167000.0,Senior,0.9509562900858393,16700.0
Leader Communications Inc,4.2,Software Engineer,"Hill AFB, UT",26d,$142K - $162K (Employer est.),152000.0,Senior,0.6155547778334344,15200.0
UCare,3.3,Software Engineer Sr. â€” Net,"Minneapolis, MN",12d,$89K - $129K (Glassdoor est.),109000.0,Mid Level,-0.34592955729012614,5450.0
CliftonLarsonAllen,4.8,DevOps Engineer,"Minneapolis, MN",11d,$94K - $156K (Employer est.),125000.0,Senior,0.011832055779105694,12500.0
Two Six Technologies,3.9,Software Engineer Associate Manager - National General,Remote,4d,$80K - $148K (Glassdoor est.),114000.0,Mid Level,-0.2341290532059912,5700.0
BAE Systems,3.9,Software Engineer,"Herndon, VA",30d+,$62K - $105K (Employer est.),83500.0,Mid Level,-0.9161121281192144,4175.0
Nodal Exchange,3.5,Software Engineer (Expert),"Herndon, VA",30d+,$81K - $164K (Employer est.),122500.0,Senior,-0.04406819626296178,12250.0
Gomez & Companies,3.5,Software Engineer (Mid-level),United States,9d,$98K - $145K (Glassdoor est.),121500.0,Senior,-0.06642829707978877,12150.0
"T-Mobile USA, Inc.",3.7,Full Stack Software Engineer & API Developer,"Canoga Park, CA",1d,$157K - $207K (Employer est.),182000.0,Senior,1.286357802338244,18200.0
M&T Bank,3.5,Sr Software Engineer - Data,"Bellevue, WA",3d,$133K - $143K (Employer est.),138000.0,Senior,0.30251336639785653,13800.0
Pressco Technology,4.5,"API Services - Senior Software Engineer - Java, Spring Boot","Buffalo, NY",10d,$79K - $159K (Employer est.),119000.0,Mid Level,-0.12232854912185624,5950.0
YouTube,3.8,Software Integration & Test Engineer,"Solon, OH",3d,$132K - $190K (Glassdoor est.),161000.0,Senior,0.8167956851848773,16100.0
ISPA Technology,4.2,"Staff Software Engineer, Machine Learning, YouTube Music","New York, NY",1d,$90K - $143K (Glassdoor est.),116500.0,Mid Level,-0.1782288011639237,5825.0
Scentsy Inc,4.0,Mid-Level Software Systems Engineer,United States,23d,$101K - $187K (Employer est.),144000.0,Senior,0.43667397129881846,14400.0
STRATASCORP,3.5,Software Engineer,"Meridian, ID",5d,$58K - $103K (Glassdoor est.),80500.0,Mid Level,-0.9831924305696953,4025.0
3R Info,3.8,Software Engineer,"Arlington, VA",4d,$125K - $200K (Employer est.),162500.0,Senior,0.8503358364101178,16250.0
Toyota Research Institute,4.1,Software Engineer in Testing,"Canton, MI",30d+,$168K (Employer est.),168000.0,Senior,0.9733163909026662,16800.0
Gelber Group,5.0,Senior Software Engineer,"Los Altos, CA",9d,$110K - $143K (Glassdoor est.),126500.0,Senior,0.04537220700434618,12650.0
"PeopleTec, Inc.",3.5,Software Engineer- Executions Team,"Chicago, IL",20d,$80.00 - $85.00 Per Hour (Employer est.),82.5,Junior,-2.78133583800688,4.125
Flysoft,5.0,Software Engineer,Unknown,2d,$78K - $112K (Glassdoor est.),95000.0,Mid Level,-0.6589709687257039,4750.0
Ingrain Systems Inc.,3.9,SOFTWARE ENGINEER,"Jamesburg, NJ",20d,$95K - $125K (Glassdoor est.),110000.0,Mid Level,-0.32356945647329916,5500.0
Carrier,4.7,Software Developers,"Sherman, TX",30d+,$92K - $158K (Employer est.),125000.0,Senior,0.011832055779105694,12500.0
NCR,4.2,Software Engineer,"Charlotte, NC",3d,$147K - $180K (Employer est.),163500.0,Senior,0.8726959372269448,16350.0
AnaVation,3.5,Software Engineer IV - Java Fullstack,Indiana,30d+,$75K - $102K (Glassdoor est.),88500.0,Mid Level,-0.8043116240350794,4425.0
Soar Technology,3.5,Mid-Level Software Engineer – HYBRID!,"Quantico, VA",30d+,$60K - $112K (Employer est.),86000.0,Mid Level,-0.8602118760771469,4300.0
Red Ventures,3.1,Autonomy Software Engineer,"Ann Arbor, MI",2d,$108K - $151K (Glassdoor est.),129500.0,Senior,0.11245250945482714,12950.0
CVS Health,4.1,Software Engineer | The Points Guy,"San Juan, PR",2d,$123K - $196K (Employer est.),159500.0,Senior,0.7832555339596369,15950.0
"Messenger, LLC",4.4,Software Development ITAM Engineer,"Lansing, MI",5d,$116K - $166K (Glassdoor est.),141000.0,Senior,0.3695936688483375,14100.0
Nelnet,3.5,Software Developer,"Auburn, IN",3d,$59K - $107K (Glassdoor est.),83000.0,Mid Level,-0.9272921785276278,4150.0
Slate Magazine,4.8,IT Software Engineer- NBS,"Lincoln, NE",24d,$104K - $163K (Glassdoor est.),133500.0,Senior,0.2018929127221351,13350.0
Adobe,3.5,Software Engineer,"Washington, DC",30d+,$68K - $80K (Employer est.),74000.0,Mid Level,-1.1285330858790708,3700.0
Airgas,4.1,Software Engineer,"Lehi, UT",12d,$83K - $107K (Glassdoor est.),95000.0,Mid Level,-0.6589709687257039,4750.0
Umbra,3.9,Firmware Engineer,"Cheshire, CT",2d,$109K - $209K (Employer est.),159000.0,Senior,0.7720754835512234,15900.0
Uber,3.8,Senior Software Engineer,"Santa Barbara, CA",5d,$97K - $197K (Employer est.),147000.0,Senior,0.5037542737492995,14700.0
Collaborative Robotics,3.7,Software Engineer II - Uber Eats,"San Francisco, CA",27d,$57K - $96K (Glassdoor est.),76500.0,Mid Level,-1.0726328338370033,3825.0
Werfen,3.3,"Software Engineer, Robotics","Santa Clara, CA",8d,$98K - $145K (Glassdoor est.),121500.0,Senior,-0.06642829707978877,12150.0
Snapchat,4.3,"Software Development Engineer in Test, Digital Solutions","Bedford, MA",19d,$66K - $90K (Glassdoor est.),78000.0,Mid Level,-1.0390926826117628,3900.0
"Canon Medical Research USA, Inc",3.7,"C++ Graphics Engineer, 1+ Years of Experience","New York, NY",2d,$55.00 - $60.00 Per Hour (Employer est.),57.5,Junior,-2.7818948405273005,2.875
Raytheon,4.0,Software Engineer,"Cambridge, MA",2d,$79K - $168K (Employer est.),123500.0,Senior,-0.02170809544613479,12350.0
Snapchat,3.8,Junior Software Engineer,"Annapolis Junction, MD",6d,$102K - $174K (Employer est.),138000.0,Senior,0.30251336639785653,13800.0
Hudson River Trading,3.9,"Software Engineer, C++, 3+ Years of Experience","Los Angeles, CA",4d,$73K - $108K (Glassdoor est.),90500.0,Mid Level,-0.7595914224014254,4525.0
Whisker,4.3,Systems Software Engineer,"New York, NY",30d+,$110K - $190K (Employer est.),150000.0,Senior,0.5708345761997804,15000.0
Mastercard,3.1,Senior Software Engineer,"Auburn Hills, MI",30d+,$94K - $137K (Glassdoor est.),115500.0,Mid Level,-0.2005889019807507,5775.0
Savannah River Mission Completion,3.6,SoftWare Engineer II,"O Fallon, MO",8d,$89K - $113K (Glassdoor est.),101000.0,Mid Level,-0.524810363824742,5050.0
Mill-Max,3.8,Associate Software Developer,"Aiken, SC",9d,$80K - $100K (Employer est.),90000.0,Mid Level,-0.7707714728098389,4500.0
Disney Entertainment & ESPN Technology,3.8,SOFTWARE ENGINEER TRAINEE,"Oyster Bay, NY",24d,$128K - $179K (Glassdoor est.),153500.0,Senior,0.6490949290586748,15350.0
Coca-Cola,4.2,Sr Software Engineer,"Seattle, WA",1d,$74K - $125K (Glassdoor est.),99500.0,Mid Level,-0.5583505150499826,4975.0
Kaleido,4.1,Staff Software Engineer,"Atlanta, GA",4d,$90K - $187K (Employer est.),138500.0,Senior,0.31369341680627005,13850.0
M&T Bank,3.7,Full Stack Engineer,"Raleigh, NC",5d,$143K - $256K (Employer est.),199500.0,Senior,1.6776595666327163,19950.0
Lufburrow & Co,3.4,"Software Engineer - API, Java, Spring Boot","Buffalo, NY",30d+,$114K - $145K (Glassdoor est.),129500.0,Senior,0.11245250945482714,12950.0
Boost Tech,4.1,Software Engineer - Hybrid,"Havre de Grace, MD",30d+,$101K - $155K (Glassdoor est.),128000.0,Senior,0.07891235822958666,12800.0
BAE Systems,3.9,Senior Software Engineer (CRM),Remote,2d,$84K - $128K (Glassdoor est.),106000.0,Mid Level,-0.4130098597406071,5300.0
VANTACA,4.5,Test Software Engineer,"Nashua, NH",4d,$100.00 Per Hour (Employer est.),100.0,Junior,-2.7809445362425853,5.0
Numerica Corporation,4.7,Mobile Engineer,Unknown,2d,$71K - $104K (Glassdoor est.),87500.0,Mid Level,-0.8266717248519064,4375.0
Veracity Engineering,4.6,Software Engineer (multiple openings),"Fort Collins, CO",18d,$99K - $137K (Glassdoor est.),118000.0,Mid Level,-0.14468864993868322,5900.0
AppLovin,4.7,SOFTWARE ENGINEER,"Washington, DC",5d,$15.69 Per Hour (Employer est.),15.0,Junior,-2.7828451448120157,0.75
M&T Bank,4.1,"Software Engineer II, C++ Backend","Palo Alto, CA",5d,$141K - $211K (Employer est.),176000.0,Senior,1.1521971974372822,17600.0
CVS Health,4.2,Software Engineer II,"Wilmington, DE",30d+,$76K - $128K (Employer est.),102000.0,Mid Level,-0.5024502630079151,5100.0
Microsoft,4.1,Junior Software Developer (Java & Azure Cloud),"Woonsocket, RI",2d,$93K - $129K (Glassdoor est.),111000.0,Mid Level,-0.30120935565647217,5550.0
Northwest Talent Solutions LLC,3.6,Software Engineer 2,Unknown,2d,$93K - $131K (Glassdoor est.),112000.0,Mid Level,-0.2788492548396452,5600.0
Honda Research Institute USA,4.2,Senior Software Engineer,"Boston, MA",30d+,$86K - $145K (Glassdoor est.),115500.0,Mid Level,-0.2005889019807507,5775.0
Activision,4.0,Software Engineer for Mobile Robots,"San Jose, CA",13d,$67K - $112K (Glassdoor est.),89500.0,Mid Level,-0.7819515232182525,4475.0
thatgamecompany,3.6,Senior Software Engineer,"Santa Monica, CA",9d,$116K - $150K (Employer est.),133000.0,Senior,0.19071286231372162,13300.0
BNY Mellon,4.0,Build Engineer,California,4d,$85K - $115K (Employer est.),100000.0,Mid Level,-0.547170464641569,5000.0
Recruiting From Scratch,3.6,"Vice President, Back-End Engineer I","Lake Mary, FL",2d,$90K - $115K (Glassdoor est.),102500.0,Mid Level,-0.49127021259950154,5125.0
"Akina, Inc.",3.9,Founding Software Engineer,"San Francisco, CA",3d,$92K - $156K (Employer est.),124000.0,Senior,-0.010528045037721295,12400.0
Vonnen,4.8,Software Engineer - 1 (Kubernetes/Python),"Annapolis Junction, MD",18d,$150K - $200K (Employer est.),175000.0,Senior,1.1298370966204552,17500.0
Capgemini,4.5,Software Engineer,"Santa Clara, CA",9d,$95K - $147K (Glassdoor est.),121000.0,Senior,-0.07760834748820226,12100.0
"Stefanini, Inc",3.6,Software Engineer - Redis,"Irving, TX",2d,$102K - $148K (Glassdoor est.),125000.0,Senior,0.011832055779105694,12500.0
Infosys,4.7,Software Engineer,"Dearborn, MI",25d,$40.00 - $60.00 Per Hour (Employer est.),50.0,Junior,-2.782062541283427,2.5
"Link, LLC",4.9,Release Engineer,"Chicago, IL",9d,$86K - $109K (Glassdoor est.),97500.0,Mid Level,-0.6030707166836365,4875.0
Autodesk,3.9,"Golang Software Engineer (VISTA BIGHITTER), BS+7, Telework","Annapolis Junction, MD",11d,$87K - $125K (Glassdoor est.),106000.0,Mid Level,-0.4130098597406071,5300.0
BCT LLC,3.9,"Software Development Engineer, Platform Services",Oregon,6d,$75.00 - $80.00 Per Hour (Employer est.),77.5,Junior,-2.7814476385109637,3.875
JPMorgan Chase & Co,4.8,Software Engineer (ID),United States,4d,$142K - $183K (Employer est.),162500.0,Senior,0.8503358364101178,16250.0
WR Systems,4.2,Software Engineer,"Jersey City, NJ",2d,$77K - $125K (Glassdoor est.),101000.0,Mid Level,-0.524810363824742,5050.0
Acuity Brands,3.5,Software Engineer,"Dahlgren, VA",3d,$162K - $244K (Employer est.),203000.0,Senior,1.7559199194916109,20300.0
Cisco Systems,4.1,Software Engineer,"Conyers, GA",3d,$85K - $104K (Glassdoor est.),94500.0,Mid Level,-0.6701510191341175,4725.0
WALGREENS,3.3,Software QA Engineer,"San Jose, CA",12d,$140K - $145K (Employer est.),142500.0,Senior,0.403133820073578,14250.0
"Vivint, Inc.",3.8,Senior Software Engineer,"Deerfield, IL",2d,$95K - $130K (Glassdoor est.),112500.0,Mid Level,-0.26766920443123166,5625.0
Caelum Research Corporation,4.1,Sr. Software Engineer,"Lehi, UT",4d,$90K - $150K (Employer est.),120000.0,Senior,-0.09996844830502925,12000.0
Oracle,4.5,Software Engineer,"Carlisle, PA",22d,$140K - $150K (Employer est.),145000.0,Senior,0.45903407211564545,14500.0
Fidelity Investments,3.8,Software Developer,"Redwood City, CA",24h,$183K - $297K (Employer est.),240000.0,Senior,2.5832436497142095,24000.0
Colorado State University,4.5,Cloud Engineer,"Westlake, TX",9d,$120K - $140K (Employer est.),130000.0,Senior,0.12363255986324063,13000.0
Bayer,2.3,Application Programmer Analyst/Developer I,"Fort Collins, CO",5d,$97K - $129K (Glassdoor est.),113000.0,Mid Level,-0.2564891540228182,5650.0
USAA,3.9,Software Engineer II,"Indianola, PA",12d,$50K - $90K (Employer est.),70000.0,Mid Level,-1.2179734891463787,3500.0
Accenture Federal Services,3.1,Senior React/Javascript Software Engineer,"San Antonio, TX",1d,$74K - $122K (Employer est.),98000.0,Mid Level,-0.591890666275223,4900.0
Gundersen Health System,5.0,Software Engineer,"Lorton, VA",13d,$85K - $150K (Employer est.),117500.0,Mid Level,-0.1558687003470967,5875.0
"JRC Integrated Systems, LLC",3.9,Software Engineer | Front End Developer,"Onalaska, WI",30d+,$82K - $114K (Glassdoor est.),98000.0,Mid Level,-0.591890666275223,4900.0
XL Softek,3.9,Software Engineer,"Washington, DC",11d,$107K - $150K (Employer est.),128500.0,Senior,0.09009240863800015,12850.0
kasmo cloud solutions,4.0,Software Engineers,"Suwanee, GA",30d+,$215K - $220K (Employer est.),217500.0,Senior,2.080141381335602,21750.0
"ICR, Inc.",4.2,Software Engineer,"Carol Stream, IL",5d,$90K - $180K (Employer est.),135000.0,Senior,0.2354330639473756,13500.0
Workday,4.0,"Software Engineer - Front End (Dashboard) - Aurora, CO","Aurora, CO",30d+,$130K - $160K (Employer est.),145000.0,Senior,0.45903407211564545,14500.0
360care,3.0,"Sr Associate Software Engineer, Database as a Service","Atlanta, GA",5d,$75K - $126K (Glassdoor est.),100500.0,Mid Level,-0.5359904142331555,5025.0
Amex,3.5,Software Engineer,"Louisville, KY",30d+,$79K - $119K (Glassdoor est.),99000.0,Mid Level,-0.569530565458396,4950.0
DKW Communications,3.5,Senior Engineer - Java - GO2 Unify,"Sunrise, FL",30d+,$125K - $150K (Employer est.),137500.0,Senior,0.29133331598944306,13750.0
"SICK, Inc.",4.1,Senior Software Engineer,"Point Mugu NAWC, CA",4d,$77K - $102K (Glassdoor est.),89500.0,Mid Level,-0.7819515232182525,4475.0
Antithesis,3.2,Software Engineer II,"Minneapolis, MN",3d,$102K - $138K (Glassdoor est.),120000.0,Senior,-0.09996844830502925,12000.0
Rekuten Global,3.9,Junior Ruby on Rails Engineer,Remote,3d,$115K - $155K (Glassdoor est.),135000.0,Senior,0.2354330639473756,13500.0
Tencent,4.0,Senior Software Engineer,"Vienna, VA",2d,$84K - $132K (Glassdoor est.),108000.0,Mid Level,-0.36828965810695313,5400.0
RealmOne,4.1,Software Engineer,"Beloit, WI",30d+,$80.00 Per Hour (Employer est.),80.0,Junior,-2.7813917382589217,4.0
Zoox,4.1,Security Software Engineer I,"Palo Alto, CA",6d,$80K - $108K (Glassdoor est.),94000.0,Mid Level,-0.681331069542531,4700.0
CyberCore Technologies,4.3,Software Engineer 1,Maryland,30d+,$148K - $230K (Employer est.),189000.0,Senior,1.442878508056033,18900.0
Synergy ECP,4.1,"Software Engineer, Workflow Orchestration","Foster City, CA",30d+,$81K - $101K (Glassdoor est.),91000.0,Mid Level,-0.7484113719930119,4550.0
Innovative Defense Technologies (IDT),3.9,Software Engineer 3,"Annapolis Junction, MD",19d,$65K - $112K (Glassdoor est.),88500.0,Mid Level,-0.8043116240350794,4425.0
VETERANS ENGINEERING INCORPORATED,4.1,Backend Python Software Engineer,"Annapolis Junction, MD",30d+,$88K - $117K (Glassdoor est.),102500.0,Mid Level,-0.49127021259950154,5125.0
Solvere Technical Group,3.6,Software Engineer,"Fall River, MA",30d+,$10K - $20K (Employer est.),15000.0,Junior,-2.4477790340718633,750.0
"IRALOGIX,Inc",3.9,Cloud Engineer,United States,10d,$111K - $153K (Glassdoor est.),132000.0,Senior,0.16835276149689463,13200.0
Nava,3.8,Software Engineer,"Indian Head, MD",2d,$91K - $126K (Glassdoor est.),108500.0,Mid Level,-0.3571096076985396,5425.0
f5,3.6,Senior Software Engineer,"Pittsburgh, PA",4d,$125K - $140K (Employer est.),132500.0,Senior,0.17953281190530812,13250.0
BAE Systems,4.5,Sr. Software Engineer,Remote,2d,$66K - $116K (Glassdoor est.),91000.0,Mid Level,-0.7484113719930119,4550.0
Synergy ECP,3.4,Software Engineer III,"San Jose, CA",19d,$108K - $146K (Glassdoor est.),127000.0,Senior,0.056552257412759675,12700.0
GE HEALTHCARE,4.0,"Engineer, Junior Software","Lexington Park, MD",30d+,$90K - $130K (Employer est.),110000.0,Mid Level,-0.32356945647329916,5500.0
TC Energy,2.4,Software Engineer,"Annapolis Junction, MD",30d+,$80K - $90K (Employer est.),85000.0,Mid Level,-0.8825719768939738,4250.0
Principal Financial Group,4.3,"Senior Software Engineer (Hybrid, Onsite)","Milwaukee, WI",3d,$86K - $119K (Glassdoor est.),102500.0,Mid Level,-0.49127021259950154,5125.0
Schlumberger,3.4,New Engineer-in-Training (NET) Rotational Program,"Houston, TX",6d,$120K - $250K (Employer est.),185000.0,Senior,1.353438104788725,18500.0
IXL Learning,3.8,"Sr Software Engineer, Snowflake focus",Unknown,2d,$54K - $83K (Employer est.),68500.0,Junior,-1.2515136403716192,3425.0
JBT Corporation,4.6,Back End Software Engineer,"Houston, TX",9d,$55K - $90K (Employer est.),72500.0,Mid Level,-1.1620732371043112,3625.0
FLASH Technology Group,4.2,Software Engineer,"San Mateo, CA",30d+,$84K - $157K (Employer est.),120500.0,Senior,-0.08878839789661576,12050.0
Innovative Defense Technologies (IDT),3.7,DevOps Engineer,"Chalfont, PA",30d+,$96K - $128K (Glassdoor est.),112000.0,Mid Level,-0.2788492548396452,5600.0
Fairfax County Public Schools,4.2,Software Engineer I,"Laurel, MD",30d+,$106K - $125K (Employer est.),115500.0,Mid Level,-0.2005889019807507,5775.0
Scholarly,4.5,Software Engineer,United States,5d,$81K - $123K (Glassdoor est.),102000.0,Mid Level,-0.5024502630079151,5100.0
Innovative Defense Technologies (IDT),3.0,Software Engineer (One Year Only),"Wilton Woods, VA",30d+,$92K - $131K (Glassdoor est.),111500.0,Mid Level,-0.29002930524805864,5575.0
Burst Inc.,2.0,Software Engineer,"Seattle, WA",9d,$115K - $166K (Glassdoor est.),140500.0,Senior,0.35841361843992403,14050.0
